Gender,BQ_Age,cutoff_2026_sec,cutoff_2026_mmss,cutoff_lo_mmss,cutoff_hi_mmss,resid_sd_sec,fit_years,excluded_years
F,18-34,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,35-39,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,40-44,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,45-49,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,50-54,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,55-59,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,60-64,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,65-69,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,70-74,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,75-79,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
F,80+,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,18-34,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,35-39,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,40-44,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,45-49,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,50-54,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,55-59,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,60-64,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,65-69,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,70-74,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,75-79,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
M,80+,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,18-34,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,35-39,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,40-44,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,45-49,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,50-54,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,55-59,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,60-64,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,65-69,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,70-74,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,75-79,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
X,80+,396.3793103448261,6:36,5:34,7:39,62.247512990988135,2014-2025,"2021,2022,2023"
